File: lockd
Build ID: e4d61a645a1f2bc729cb1865a9a8fa7f759a8ceb
Type: cpu
Time: 2026-01-28 11:41:28 CET
Duration: 5.12s, Total samples = 6.46s (126.15%)
Showing nodes accounting for 4.37s, 67.65% of 6.46s total
Dropped 535 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     0.01s  0.15% 66.87%      0.04s  0.62%  runtime.mapassign_faststr
     0.01s  0.15% 67.03%      0.87s 13.47%  runtime.mcall
     0.01s  0.15% 67.18%      0.28s  4.33%  runtime.newstack
     0.01s  0.15% 67.34%      0.12s  1.86%  runtime.ready
     0.01s  0.15% 67.49%      0.12s  1.86%  runtime.send
     0.01s  0.15% 67.65%      0.06s  0.93%  runtime.sweepone
         0     0% 67.65%      0.47s  7.28%  bufio.(*Writer).Flush
         0     0% 67.65%      0.26s  4.02%  bytes.(*Buffer).ReadFrom
         0     0% 67.65%      0.04s  0.62%  crypto/internal/fips140/aes/gcm.(*GCMForTLS13).Seal
         0     0% 67.65%      0.25s  3.87%  crypto/tls.(*Conn).Read
         0     0% 67.65%      0.32s  4.95%  crypto/tls.(*Conn).Write
         0     0% 67.65%      0.17s  2.63%  crypto/tls.(*Conn).readFromUntil
         0     0% 67.65%      0.22s  3.41%  crypto/tls.(*Conn).readRecord (inline)
         0     0% 67.65%      0.27s  4.18%  crypto/tls.(*Conn).write
         0     0% 67.65%      0.31s  4.80%  crypto/tls.(*Conn).writeRecordLocked
         0     0% 67.65%      0.16s  2.48%  crypto/tls.(*atLeastReader).Read
         0     0% 67.65%      0.04s  0.62%  crypto/tls.(*halfConn).encrypt
         0     0% 67.65%      0.04s  0.62%  crypto/tls.(*xorNonceAEAD).Seal
         0     0% 67.65%      0.11s  1.70%  crypto/x509/pkix.Name.String
         0     0% 67.65%      0.08s  1.24%  crypto/x509/pkix.Name.ToRDNSequence
         0     0% 67.65%      0.08s  1.24%  crypto/x509/pkix.Name.appendRDNs
         0     0% 67.65%      0.10s  1.55%  encoding/json.(*decodeState).unmarshal
         0     0% 67.65%      0.10s  1.55%  encoding/json.(*decodeState).value
         0     0% 67.65%      0.04s  0.62%  encoding/json.Valid
         0     0% 67.65%      0.04s  0.62%  github.com/google/uuid.NewV7
         0     0% 67.65%      0.16s  2.48%  go.opentelemetry.io/otel/attribute.NewSet (inline)
         0     0% 67.65%      0.16s  2.48%  go.opentelemetry.io/otel/attribute.NewSetWithFiltered
         0     0% 67.65%      0.16s  2.48%  go.opentelemetry.io/otel/metric.WithAttributes
         0     0% 67.65%      0.04s  0.62%  golang.org/x/crypto/hkdf.New
         0     0% 67.65%      0.42s  6.50%  golang.org/x/net/http2.(*Framer).ReadFrame
         0     0% 67.65%      0.19s  2.94%  golang.org/x/net/http2.(*Framer).ReadFrameForHeader
