File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 08:24:15 CET
Duration: 5.12s, Total samples = 6.24s (121.92%)
Showing nodes accounting for 4.12s, 66.03% of 6.24s total
Dropped 547 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
         0     0% 66.03%      0.04s  0.64%  crypto/internal/fips140/sha256.block
         0     0% 66.03%      0.18s  2.88%  crypto/tls.(*Conn).Read
         0     0% 66.03%      0.36s  5.77%  crypto/tls.(*Conn).Write
         0     0% 66.03%      0.12s  1.92%  crypto/tls.(*Conn).readFromUntil
         0     0% 66.03%      0.17s  2.72%  crypto/tls.(*Conn).readRecord (inline)
         0     0% 66.03%      0.33s  5.29%  crypto/tls.(*Conn).write
         0     0% 66.03%      0.12s  1.92%  crypto/tls.(*atLeastReader).Read
         0     0% 66.03%      0.09s  1.44%  crypto/x509/pkix.Name.String
         0     0% 66.03%      0.08s  1.28%  crypto/x509/pkix.Name.appendRDNs
         0     0% 66.03%      0.14s  2.24%  encoding/json.(*Decoder).Decode
         0     0% 66.03%      0.04s  0.64%  encoding/json.(*Decoder).readValue
         0     0% 66.03%      0.06s  0.96%  encoding/json.(*Encoder).Encode
         0     0% 66.03%      0.04s  0.64%  encoding/json.(*decodeState).objectInterface
         0     0% 66.03%      0.09s  1.44%  encoding/json.(*decodeState).unmarshal
         0     0% 66.03%      0.09s  1.44%  encoding/json.(*decodeState).value
         0     0% 66.03%      0.04s  0.64%  encoding/json.(*decodeState).valueInterface
         0     0% 66.03%      0.06s  0.96%  encoding/json.(*encodeState).marshal
         0     0% 66.03%      0.06s  0.96%  encoding/json.(*encodeState).reflectValue
         0     0% 66.03%      0.15s  2.40%  go.opentelemetry.io/otel/attribute.NewSet (inline)
         0     0% 66.03%      0.15s  2.40%  go.opentelemetry.io/otel/attribute.NewSetWithFiltered
         0     0% 66.03%      0.15s  2.40%  go.opentelemetry.io/otel/attribute.newSet
         0     0% 66.03%      0.16s  2.56%  go.opentelemetry.io/otel/metric.WithAttributes
         0     0% 66.03%      0.04s  0.64%  go.opentelemetry.io/otel/sdk/metric.(*int64Inst).Add
         0     0% 66.03%      0.04s  0.64%  go.opentelemetry.io/otel/sdk/metric.(*int64Inst).aggregate (inline)
         0     0% 66.03%      0.05s   0.8%  golang.org/x/crypto/hkdf.Extract
         0     0% 66.03%      0.06s  0.96%  golang.org/x/crypto/hkdf.New
         0     0% 66.03%      0.32s  5.13%  golang.org/x/net/http2.(*Framer).ReadFrame
         0     0% 66.03%      0.17s  2.72%  golang.org/x/net/http2.(*Framer).ReadFrameHeader
         0     0% 66.03%      0.12s  1.92%  golang.org/x/net/http2.(*Framer).readMetaFrame
         0     0% 66.03%      0.04s  0.64%  golang.org/x/net/http2.(*Framer).readMetaFrame.func1
         0     0% 66.03%      0.50s  8.01%  golang.org/x/net/http2.(*Server).ServeConn (inline)
         0     0% 66.03%      0.50s  8.01%  golang.org/x/net/http2.(*Server).serveConn
         0     0% 66.03%      0.37s  5.93%  golang.org/x/net/http2.(*bufferedWriter).Flush
         0     0% 66.03%      0.36s  5.77%  golang.org/x/net/http2.(*bufferedWriterTimeoutWriter).Write
         0     0% 66.03%      0.08s  1.28%  golang.org/x/net/http2.(*responseWriter).Flush (inline)
         0     0% 66.03%      0.08s  1.28%  golang.org/x/net/http2.(*responseWriter).FlushError
         0     0% 66.03%      0.08s  1.28%  golang.org/x/net/http2.(*responseWriter).handlerDone
         0     0% 66.03%      0.37s  5.93%  golang.org/x/net/http2.(*serverConn).Flush
         0     0% 66.03%      0.07s  1.12%  golang.org/x/net/http2.(*serverConn).newWriterAndRequest
         0     0% 66.03%      0.18s  2.88%  golang.org/x/net/http2.(*serverConn).processFrameFromReader
         0     0% 66.03%      0.14s  2.24%  golang.org/x/net/http2.(*serverConn).processHeaders
         0     0% 66.03%      2.71s 43.43%  golang.org/x/net/http2.(*serverConn).runHandler
         0     0% 66.03%      0.09s  1.44%  golang.org/x/net/http2.(*serverConn).runHandler.func1
         0     0% 66.03%      0.10s  1.60%  golang.org/x/net/http2.(*serverConn).scheduleFrameWrite
         0     0% 66.03%      0.08s  1.28%  golang.org/x/net/http2.(*serverConn).startFrameWrite
         0     0% 66.03%      0.04s  0.64%  golang.org/x/net/http2.(*serverConn).writeFrame
         0     0% 66.03%      0.44s  7.05%  golang.org/x/net/http2.(*serverConn).writeFrameAsync
         0     0% 66.03%      0.50s  8.01%  golang.org/x/net/http2.ConfigureServer.func2
         0     0% 66.03%      0.50s  8.01%  golang.org/x/net/http2.ConfigureServer.func3
         0     0% 66.03%      0.08s  1.28%  golang.org/x/net/http2.chunkWriter.Write
         0     0% 66.03%      0.05s   0.8%  golang.org/x/net/http2.encodeHeaders
         0     0% 66.03%      0.37s  5.93%  golang.org/x/net/http2.flushFrameWriter.writeFrame
         0     0% 66.03%      0.17s  2.72%  golang.org/x/net/http2.readFrameHeader
         0     0% 66.03%      0.36s  5.77%  golang.org/x/net/http2.writeWithByteTimeout
         0     0% 66.03%      0.10s  1.60%  golang.org/x/net/http2/hpack.(*Decoder).Write
         0     0% 66.03%      0.04s  0.64%  golang.org/x/net/http2/hpack.(*Decoder).callEmit
         0     0% 66.03%      0.05s   0.8%  golang.org/x/net/http2/hpack.(*Decoder).decodeString
         0     0% 66.03%      0.06s  0.96%  golang.org/x/net/http2/hpack.(*Decoder).parseFieldLiteral
         0     0% 66.03%      0.10s  1.60%  golang.org/x/net/http2/hpack.(*Decoder).parseHeaderFieldRepr
         0     0% 66.03%      0.04s  0.64%  google.golang.org/protobuf/internal/impl.(*MessageInfo).marshal
         0     0% 66.03%      0.04s  0.64%  google.golang.org/protobuf/internal/impl.(*MessageInfo).marshalAppendPointer
         0     0% 66.03%      0.11s  1.76%  google.golang.org/protobuf/proto.Marshal
         0     0% 66.03%      0.10s  1.60%  google.golang.org/protobuf/proto.MarshalOptions.marshal
         0     0% 66.03%      0.06s  0.96%  internal/poll.(*FD).Pread.func1 (inline)
         0     0% 66.03%      0.14s  2.24%  internal/poll.(*FD).Read
         0     0% 66.03%      0.33s  5.29%  internal/poll.(*FD).Write
         0     0% 66.03%      0.06s  0.96%  internal/poll.ignoringEINTR2[go.shape.int] (inline)
         0     0% 66.03%      0.49s  7.85%  internal/poll.ignoringEINTRIO (inline)
         0     0% 66.03%      0.10s  1.60%  internal/runtime/syscall.EpollWait
         0     0% 66.03%      0.06s  0.96%  internal/sync.runtime_doSpin
         0     0% 66.03%      0.24s  3.85%  io.ReadFull (inline)
         0     0% 66.03%      0.12s  1.92%  net.(*conn).Read
         0     0% 66.03%      0.33s  5.29%  net.(*conn).Write
         0     0% 66.03%      0.12s  1.92%  net.(*netFD).Read
         0     0% 66.03%      0.33s  5.29%  net.(*netFD).Write
         0     0% 66.03%      2.62s 41.99%  net/http.(*ServeMux).ServeHTTP
         0     0% 66.03%      0.04s  0.64%  net/http.(*ServeMux).findHandler
         0     0% 66.03%      0.50s  8.01%  net/http.(*conn).serve
         0     0% 66.03%      2.58s 41.35%  net/http.HandlerFunc.ServeHTTP
         0     0% 66.03%      2.62s 41.99%  net/http.initALPNRequest.ServeHTTP
         0     0% 66.03%      2.62s 41.99%  net/http.serverHandler.ServeHTTP
         0     0% 66.03%      0.07s  1.12%  os.(*File).ReadAt
         0     0% 66.03%      0.04s  0.64%  os.(*File).ReadDir
         0     0% 66.03%      0.21s  3.37%  os.(*File).WriteAt
         0     0% 66.03%      0.07s  1.12%  os.(*File).pread (inline)
         0     0% 66.03%      0.21s  3.37%  os.(*File).pwrite (inline)
         0     0% 66.03%      0.05s   0.8%  os.Open (inline)
         0     0% 66.03%      0.06s  0.96%  os.OpenFile
         0     0% 66.03%      0.05s   0.8%  os.ReadDir
         0     0% 66.03%      0.06s  0.96%  os.ignoringEINTR (inline)
